year,lat,long,name,energy
1,-7,0,aquatic,716.5
1,-8,4,aquatic,684.0
1,7,4,water,75.0
1,-2,-4,aquatic,702.5
1,6,-7,water,102.0
1,5,2,aquatic,731.5
1,3,-1,aquatic,728.5
1,3,-7,water,97.0
1,3,7,aquatic,718.0
1,-13,2,water,95.0
1,12,5,water,91.0
1,-8,-6,water,63.0
1,-13,4,water,116.0
1,-10,2,water,94.0
1,-3,-5,aquatic,756.0
1,-7,-1,aquatic,681.0
1,-4,-4,aquatic,715.5
1,8,1,water,88.0
1,1,1,aquatic,778.5
1,-6,-9,water,117.0
1,-5,4,water,87.0
1,8,-7,water,74.0
1,5,3,water,64.0
1,-5,2,aquatic,759.0
1,5,-9,water,95.0
1,-6,-12,water,101.0
1,-15,0,water,67.0
1,-5,-3,aquatic,760.0
1,4,5,aquatic,760.5
1,-13,-3,water,94.0
1,-2,-9,aquatic,674.5
1,3,5,aquatic,696.0
1,-3,-7,water,87.0
1,-6,-3,aquatic,758.0
1,-5,6,water,103.0
1,8,-3,water,107.0
1,-1,-7,aquatic,687.5
1,-3,10,water,85.0
1,-10,-7,water,104.0
1,9,-2,aquatic,737.0
1,4,-8,water,93.0
1,-3,11,water,96.0
1,-9,-5,water,84.0
1,6,-12,water,60.0
1,-2,-8,water,82.0
1,0,-3,aquatic,697.5
1,7,0,water,93.0
1,-6,1,aquatic,664.0
1,2,6,aquatic,790.0
1,-4,12,water,92.0
1,7,-5,aquatic,763.0
1,-8,12,water,98.0
1,9,0,water,86.0
1,-3,7,aquatic,675.0
1,4,-4,aquatic,712.5
1,4,-7,water,71.0
1,-4,5,aquatic,704.0
1,-10,-3,water,73.0
1,-4,6,water,108.0
1,8,-4,water,63.0
1,10,-2,aquatic,754.5
1,5,5,water,97.0
1,-2,5,water,111.0
1,-1,-8,aquatic,779.0
1,-14,4,water,54.0
1,10,5,water,128.0
1,-10,0,water,74.0
1,3,-9,water,54.0
1,-4,-10,aquatic,653.5
1,-7,-7,aquatic,736.0
1,6,11,water,75.0
1,2,-7,aquatic,666.5
1,2,-8,water,57.0
1,-11,-2,water,73.0
1,-7,7,water,62.0
1,9,-3,water,70.0
1,-8,5,aquatic,669.5
1,-9,1,water,110.0
1,10,0,water,67.0
1,4,-6,herb,1190.2
1,6,-9,water,79.0
1,6,9,water,70.0
1,-14,5,water,80.0
1,-4,13,water,105.0
1,11,-9,water,89.0
1,-7,1,aquatic,786.5
1,6,4,water,64.0
1,7,2,water,105.0
1,-7,-4,water,62.0
1,-4,9,water,94.0
1,5,-10,water,78.0
1,-14,-7,water,46.0
1,-7,-8,water,65.0
1,-2,-16,water,64.0
1,7,-6,water,64.0
1,17,-4,water,89.0
1,-6,-8,water,86.0
1,4,-10,water,96.0
1,12,-10,water,57.0
1,1,-11,water,82.0
1,7,-9,water,117.0
1,6,5,aquatic,751.0
1,-7,-12,water,68.0
1,6,3,aquatic,707.0
1,10,2,water,123.0
1,7,-7,water,119.0
1,-5,-9,water,86.0
1,-8,-1,water,71.0
1,0,-11,water,131.0
1,4,7,water,74.0
1,-7,-3,aquatic,688.0
1,-8,-10,water,99.0
1,4,6,water,103.0
1,-6,8,aquatic,727.5
1,-10,8,water,94.0
1,-1,6,floating,1377.8
1,5,-7,water,128.0
