year,lat,long,name,energy
1,3,-8,floating,56.0
1,11,6,floating,35.0
1,6,6,floating,67.0
1,15,-2,floating,58.0
1,2,-8,aquatic,672.0
1,10,5,water,63.5
1,4,9,aquatic,704.0
1,2,9,water,58.0
1,1,-11,water,112.0
1,5,-2,aquatic,783.0
1,7,6,water,68.0
1,-3,5,water,101.0
1,5,6,water,47.0
1,4,0,water,71.0
1,5,7,water,72.0
1,-4,-10,water,71.0
1,0,-9,water,69.0
1,2,-7,water,74.0
1,9,5,water,103.0
1,1,5,water,56.0
1,4,1,water,81.0
1,-6,-13,water,78.0
1,7,4,water,59.0
1,4,4,water,73.0
1,3,-11,water,91.0
1,3,-5,water,59.5
1,2,-4,water,100.0
1,3,-9,water,55.0
1,6,5,water,99.0
1,-10,-6,water,99.0
1,0,-3,water,106.0
1,0,-5,water,99.0
1,4,-4,water,69.0
1,6,-4,water,71.0
1,6,3,water,119.0
1,-2,0,woody,2097.5
1,7,8,water,120.0
1,-4,-13,water,88.0
1,2,11,water,85.0
1,-6,-3,aquatic,711.5
1,-8,-6,water,44.0
1,3,6,aquatic,731.0
1,4,5,water,104.0
1,-2,-4,water,74.0
1,6,4,water,131.0
1,7,1,water,58.0
1,7,5,aquatic,692.0
1,-4,-4,water,81.0
1,-1,4,aquatic,717.5
1,-1,-2,water,94.0
1,-7,1,aquatic,720.5
1,5,3,water,111.0
1,12,-3,water,91.0
1,-7,5,water,92.0
1,14,0,water,97.0
1,5,-8,water,75.0
1,9,-3,water,64.0
1,15,-7,water,77.0
1,-9,-6,water,58.0
1,-3,-10,water,91.0
1,5,-4,water,123.0
1,-9,-3,water,82.0
1,-3,-4,water,77.0
1,-11,0,aquatic,696.5
1,-2,4,water,64.0
1,8,-4,water,87.0
1,10,4,aquatic,719.0
1,3,9,water,87.0
1,-10,2,water,79.0
1,-6,-8,water,104.0
1,0,1,water,100.0
1,6,8,water,34.0
1,-2,-6,water,73.0
1,0,5,water,69.0
1,-12,4,water,103.0
1,-3,6,water,74.0
1,8,3,aquatic,742.0
1,5,8,water,100.0
1,-5,-2,aquatic,734.5
1,14,-3,water,89.0
1,7,7,water,46.0
1,-7,3,water,69.0
1,6,-1,water,62.0
1,0,-10,water,96.0
1,-6,10,water,74.0
1,1,1,water,75.0
1,7,11,water,94.0
1,3,3,water,55.0
1,-1,8,water,74.0
1,10,0,water,73.0
1,16,5,water,67.0
1,-1,9,water,88.0
1,-5,-1,water,93.0
1,3,-12,water,59.0
1,5,-3,water,67.0
1,6,2,water,75.0
1,11,-10,water,100.0
1,-6,-4,aquatic,695.5
1,-2,-1,water,80.0
1,0,-8,water,77.0
1,7,-4,aquatic,738.0
1,1,-4,water,94.0
1,0,9,water,78.0
1,-1,-10,water,100.0
1,-8,1,water,104.0
1,-1,-11,aquatic,739.0
1,-13,-8,water,70.0
1,7,-9,water,109.0
1,-9,2,water,84.0
1,-13,1,water,101.0
1,-10,-7,water,119.0
1,-1,-13,water,53.0
1,-5,-16,water,94.0
1,-2,14,water,62.0
1,-7,8,water,94.0
1,-3,7,aquatic,742.0
1,-4,-2,water,92.0
1,-5,9,water,84.0
1,-3,16,water,95.0
1,-1,14,water,109.0
1,-7,-7,water,103.0
1,2,-9,water,96.0
1,5,-10,water,92.0
1,9,-12,water,91.0
1,4,-9,water,78.0
1,-10,-8,water,43.0
1,-6,6,water,98.0
1,-11,6,water,120.0
1,1,-9,water,91.0
1,2,-5,water,98.0
1,1,11,water,61.0
1,-2,-2,water,75.0
1,-16,3,water,112.0
1,-4,6,water,76.0
1,-1,10,water,107.0
1,1,-8,water,63.0
1,-6,5,water,86.0
1,6,-8,water,82.0
1,-4,-7,water,100.0
1,13,1,water,102.0
1,-5,-8,water,97.0
1,14,3,water,72.0
1,-8,6,water,107.0
1,-6,-6,water,131.0
1,-4,5,water,100.0
1,2,8,water,94.0
1,-5,-4,water,94.0
1,10,9,water,80.0
1,-6,9,water,98.0
1,-8,9,water,93.0
