year,lat,long,name,energy
1,7,0,water,76.0
1,4,2,aquatic,650.5
1,-5,9,water,104.0
1,8,-7,water,64.0
1,-8,3,water,91.0
1,-5,-3,aquatic,793.0
1,8,-9,water,107.0
1,-4,0,aquatic,715.0
1,-2,3,water,85.0
1,-1,-7,aquatic,720.0
1,-8,-16,water,85.0
1,1,12,water,73.0
1,8,1,water,102.0
1,-3,1,aquatic,704.0
1,-1,12,aquatic,751.5
1,9,3,aquatic,723.0
1,-1,3,water,113.0
1,-5,-5,aquatic,769.5
1,0,10,water,102.0
1,0,-13,aquatic,716.0
1,6,5,aquatic,722.5
1,5,13,water,98.0
1,-6,3,aquatic,724.0
1,-3,8,woody,2120.5
1,0,-12,water,92.0
1,6,6,water,73.0
1,7,-5,water,82.0
1,-11,0,water,57.0
1,-8,-4,water,79.0
1,5,-10,water,117.0
1,6,-6,aquatic,718.0
1,4,-3,aquatic,686.0
1,-13,-2,water,62.0
1,-2,-15,water,53.0
1,-8,2,aquatic,688.5
1,-1,-10,water,82.0
1,7,-1,aquatic,785.5
1,7,-7,water,102.0
1,7,-6,water,66.0
1,9,-9,water,77.0
1,6,7,water,73.0
1,-7,5,aquatic,673.5
1,0,12,water,126.0
1,1,-9,aquatic,688.5
1,10,-3,water,71.0
1,6,-13,water,68.0
1,-8,1,water,96.0
1,-3,3,aquatic,717.0
1,0,8,aquatic,736.5
1,-4,3,water,125.0
1,-11,4,water,84.0
1,-1,6,water,109.0
1,-5,-9,water,55.0
1,-2,6,aquatic,730.0
1,-4,5,water,73.0
1,-3,2,aquatic,651.0
1,-8,0,water,117.0
1,-1,-8,aquatic,695.0
1,-3,6,water,104.0
1,-4,7,water,90.0
1,10,6,water,72.0
1,3,-5,aquatic,681.5
1,-4,6,water,116.0
1,1,4,aquatic,737.5
1,9,-3,water,78.0
1,2,-3,aquatic,725.0
1,-13,1,water,78.0
1,-6,-2,aquatic,775.0
1,1,8,aquatic,715.5
1,8,2,water,89.0
1,4,10,water,80.0
1,6,-9,water,51.0
1,-9,-1,water,60.0
1,-2,4,water,58.0
1,-5,-4,water,84.0
1,8,3,water,55.0
1,8,0,water,87.0
1,-4,-8,aquatic,702.0
1,7,1,aquatic,738.5
1,-6,4,herb,1093.5
1,-7,-5,water,56.0
1,1,3,aquatic,684.5
1,-4,4,water,76.0
1,-7,-19,water,118.0
1,9,1,aquatic,726.5
1,-7,3,water,85.0
1,9,9,water,93.0
1,-1,-9,water,112.0
1,-4,-4,water,84.0
1,4,6,aquatic,679.5
1,4,7,aquatic,837.0
1,-6,6,water,80.0
1,11,-2,water,113.0
1,8,-2,aquatic,826.5
1,11,16,water,80.0
1,2,-9,aquatic,704.5
1,-11,-1,water,73.0
1,-10,-3,water,85.0
1,-3,-5,aquatic,680.0
1,-6,12,water,115.0
1,-8,-11,water,84.0
1,-15,2,water,132.0
1,11,-1,water,99.0
1,5,9,water,90.0
1,6,3,water,106.0
1,-9,4,water,114.0
1,7,2,water,70.0
1,-12,-12,water,77.0
1,7,3,aquatic,690.5
1,12,5,water,69.0
1,12,3,aquatic,737.0
1,-7,9,water,105.0
1,-11,-3,water,89.0
1,-4,-14,water,62.0
1,-1,4,water,119.0
1,8,-4,water,115.0
1,-7,2,water,123.0
1,-9,-5,water,114.0
1,12,-4,water,125.0
1,-8,8,aquatic,737.0
1,5,10,water,100.0
1,-2,-9,aquatic,771.0
1,7,-4,aquatic,662.0
1,4,8,aquatic,689.0
1,4,-8,water,97.0
1,2,4,aquatic,872.0
1,-6,-11,water,50.0
1,-11,8,water,93.0
1,-6,7,water,35.0
1,-7,-9,aquatic,774.5
1,9,6,aquatic,781.0
1,-6,-6,aquatic,742.5
1,-3,4,water,96.0
1,7,-9,aquatic,745.0
1,9,-5,water,79.0
1,-5,7,water,84.0
1,-5,6,water,82.0
1,10,-7,water,61.0
1,8,-3,water,90.0
1,-6,-4,aquatic,666.5
1,-8,-5,water,100.0
1,12,9,water,103.0
1,-2,5,water,113.0
1,6,-12,water,103.0
1,-17,0,water,72.0
1,3,11,water,69.0
1,-9,-9,water,114.0
1,12,-1,water,128.0
1,-4,8,water,101.0
1,-6,-7,water,56.0
1,7,6,water,59.0
1,-12,4,water,104.0
1,2,-11,water,76.0
1,5,7,water,96.0
1,-1,7,water,92.0
1,10,-2,water,93.0
1,-10,-11,water,81.0
1,-3,5,water,108.0
1,-12,-5,water,92.0
1,5,-9,water,104.0
1,-9,0,aquatic,715.5
1,6,10,water,109.0
1,4,-10,water,74.0
1,-8,4,water,72.0
1,-12,-2,water,94.0
1,4,-7,water,99.0
1,-8,-13,water,122.0
1,7,5,water,70.0
1,4,3,water,115.0
1,2,-14,water,96.0
1,-13,0,aquatic,700.0
1,-10,4,water,96.0
1,-11,10,water,91.0
1,3,10,water,95.0
1,-4,-11,water,78.0
1,6,9,water,105.0
1,7,4,water,89.0
1,4,9,water,75.0
1,9,-6,water,104.0
1,-13,-3,water,117.0
1,7,10,water,91.0
1,-5,10,water,72.0
1,13,1,water,65.5
1,0,9,aquatic,717.5
1,12,-3,water,66.0
1,7,9,water,78.0
1,-13,3,water,93.0
1,-7,7,water,68.0
1,8,-6,water,106.0
1,-10,2,water,36.0
1,8,-5,water,124.0
1,-1,-13,water,94.0
1,-14,9,water,117.0
1,-5,11,water,89.0
1,8,-1,water,105.0
1,8,7,water,84.0
1,-7,8,water,96.0
1,1,9,aquatic,692.5
1,2,-15,water,90.0
1,12,4,water,79.0
1,-2,10,aquatic,741.0
1,9,-1,water,121.0
1,-10,-6,water,106.0
1,5,-8,water,88.0
1,-11,13,water,64.0
1,-12,6,water,120.0
1,-7,-4,water,96.0
1,10,9,aquatic,794.0
1,-12,-4,water,105.0
1,4,13,water,84.0
1,13,0,water,80.0
1,15,-4,water,95.0
1,3,-9,water,59.0
1,-2,9,water,103.0
1,-18,-1,water,93.0
1,-5,5,water,100.0
1,16,2,water,65.0
1,5,8,water,85.0
1,4,-14,water,56.0
1,-9,-3,water,123.0
1,-7,4,water,97.0
1,-10,-5,water,77.0
1,-5,-10,water,81.0
1,-3,9,water,112.0
1,-14,-2,water,90.0
1,11,-8,water,43.0
1,0,-15,water,97.0
1,-1,-12,aquatic,678.0
1,-8,-3,aquatic,686.0
1,-14,-5,water,95.0
1,0,14,water,131.0
1,6,11,water,97.0
1,-4,-7,water,61.0
1,-6,8,water,93.0
1,9,-12,water,86.0
1,7,8,water,112.0
1,7,11,water,123.0
1,13,6,water,115.0
1,-11,2,water,94.0
1,-5,-8,water,101.0
1,9,-4,water,76.0
1,11,-6,water,118.0
1,11,-5,water,75.0
1,-4,-9,water,95.0
1,-6,-12,water,107.0
1,-9,-4,water,128.0
1,5,-7,water,88.0
1,-12,0,water,120.0
1,10,7,water,85.0
1,-7,6,water,62.0
1,10,-4,water,85.0
1,4,-12,water,103.0
1,9,-7,water,95.0
1,13,-1,water,77.0
1,13,4,water,65.0
1,-2,-8,water,80.0
1,-13,4,water,50.0
1,-10,7,water,94.0
1,-9,2,water,101.0
1,15,0,water,130.0
1,-4,12,water,93.0
1,-13,-5,water,83.0
1,-3,10,water,78.0
1,11,3,water,113.0
1,9,-14,water,79.0
1,14,13,water,56.0
1,-3,13,water,94.0
1,3,-10,aquatic,909.0
1,-1,9,water,97.0
1,-12,3,water,103.0
1,13,-4,water,104.0
1,4,-11,water,56.0
1,7,7,water,72.0
1,-8,-9,water,90.0
1,11,12,water,117.0
1,12,-6,water,56.0
1,0,15,water,99.0
1,-9,3,water,80.0
1,-9,-10,water,107.0
1,-17,-13,water,90.0
1,9,2,water,113.0
1,11,2,aquatic,722.5
1,-15,0,water,95.0
1,-4,13,water,96.0
1,-7,-6,water,116.0
1,9,8,water,83.0
1,-10,10,aquatic,823.0
1,-4,-18,water,121.0
1,-11,-4,water,139.0
1,-6,15,water,75.0
1,-6,11,aquatic,692.0
1,-6,-10,water,72.0
1,-9,10,water,83.0
1,-14,1,water,86.0
1,14,-2,water,97.0
1,10,-6,water,73.0
1,6,-11,water,76.0
1,8,4,water,94.0
1,-3,-13,water,70.0
1,1,11,water,106.0
1,10,-8,water,49.0
1,-9,1,water,100.0
1,-11,1,water,72.0
1,6,8,water,60.0
1,-14,4,water,79.0
1,-11,9,water,79.0
1,-9,9,water,60.0
1,1,-12,water,90.0
1,13,-6,water,96.0
1,0,-17,water,63.0
1,-12,-1,water,117.0
1,8,8,water,89.0
1,0,13,water,56.0
1,2,14,water,114.0
1,-9,-14,water,81.0
1,5,12,water,108.0
1,-4,-10,water,70.0
1,-11,-6,water,102.0
1,-12,-3,aquatic,770.0
1,-18,1,water,100.0
