year,lat,long,name,energy
1,4,-12,water,104.0
1,1,15,water,96.0
1,-2,-5,aquatic,672.5
1,4,-6,aquatic,652.0
1,1,-9,water,81.0
1,10,3,water,66.0
1,0,15,water,95.0
1,-6,3,aquatic,724.0
1,4,-4,aquatic,699.0
1,-1,-6,water,111.0
1,8,2,aquatic,786.0
1,-8,3,aquatic,678.0
1,2,-6,water,73.0
1,6,-9,water,106.0
1,-10,-1,aquatic,786.5
1,2,-1,aquatic,708.0
1,-9,5,water,91.0
1,11,4,aquatic,682.0
1,1,-4,aquatic,633.0
1,-9,7,aquatic,730.2
1,3,-5,aquatic,720.0
1,1,12,water,78.0
1,-1,-9,aquatic,720.5
1,-10,7,water,93.0
1,1,-8,aquatic,681.5
1,-4,4,aquatic,669.0
1,2,4,aquatic,705.5
1,-5,-6,water,90.0
1,-5,6,aquatic,702.0
1,-6,-8,water,91.0
1,4,4,aquatic,683.5
1,-3,-3,aquatic,707.0
1,-3,-13,water,117.0
1,2,-9,water,68.0
1,7,3,aquatic,692.0
1,0,-13,water,99.0
1,3,-12,aquatic,745.5
1,6,-2,aquatic,695.0
1,4,12,water,68.0
1,0,-5,water,111.0
1,0,5,aquatic,687.0
1,5,-5,aquatic,730.5
1,-5,-5,water,71.5
1,6,1,aquatic,654.5
1,-9,0,aquatic,666.5
1,-2,-6,water,89.0
1,-1,-12,water,84.0
1,11,-5,herb,1144.0
1,2,-14,water,79.0
1,10,2,water,78.0
1,11,1,water,89.0
1,-10,4,water,93.0
1,6,7,water,95.0
1,-7,10,water,104.0
1,-2,-4,aquatic,743.5
1,-11,-1,water,102.0
1,1,8,water,96.0
1,2,8,aquatic,833.5
1,3,-8,water,92.0
1,8,5,aquatic,728.5
1,10,-5,water,64.0
1,10,5,water,136.0
1,-3,9,water,84.0
1,-6,9,water,107.0
1,-11,-9,water,66.0
1,-9,-3,water,95.0
1,-3,-7,aquatic,706.0
1,-5,8,aquatic,721.5
1,4,-10,water,95.0
1,0,-8,water,54.0
1,-2,7,aquatic,721.5
1,12,0,water,92.0
