year,lat,long,name,energy
1,6,0,water,71.0
1,-11,-7,water,91.0
1,11,-7,water,97.0
1,-5,-5,water,106.0
1,3,3,herb,1079.0
1,9,-5,water,121.0
1,-1,12,water,53.0
1,-4,-4,water,105.0
1,4,-2,aquatic,676.0
1,-8,2,aquatic,690.0
1,2,13,water,66.0
1,-6,-10,aquatic,735.0
1,4,5,herb,1232.5
1,-8,-2,water,70.0
1,9,0,water,102.0
1,-8,5,water,63.0
1,-4,11,water,62.0
1,-2,-10,water,73.0
1,9,1,herb,1055.0
1,-4,-9,water,93.0
1,13,5,water,112.0
1,3,8,water,70.0
1,8,5,aquatic,799.0
1,11,-5,water,63.5
1,4,6,water,89.0
1,8,6,water,92.0
1,8,0,aquatic,711.0
1,-10,1,aquatic,837.5
1,8,1,water,87.0
1,5,2,herb,1113.0
1,2,4,aquatic,705.0
1,6,6,water,66.0
1,7,6,water,62.0
1,-6,8,water,73.0
1,-5,-7,water,62.5
1,3,-5,herb,1122.0
1,-6,5,aquatic,706.5
1,6,3,water,76.0
1,-7,-4,water,87.0
1,4,-4,herb,1171.5
1,-3,-6,aquatic,707.5
1,-5,5,herb,1125.0
1,-6,1,herb,1114.0
1,7,0,aquatic,702.5
1,0,8,aquatic,746.5
1,1,-12,water,137.0
1,5,-1,water,86.0
1,8,-5,water,115.0
1,-10,3,aquatic,737.0
1,3,-9,water,60.0
1,-5,-4,aquatic,711.0
1,-8,-5,water,112.0
1,-7,-2,water,113.0
1,5,0,aquatic,700.0
1,-7,-1,water,71.0
1,-1,9,water,97.0
1,11,4,water,69.0
1,-1,-13,water,95.0
1,-1,-10,water,72.0
1,-11,-13,water,93.0
1,-5,8,water,96.0
1,-1,-12,aquatic,699.0
1,-4,3,aquatic,680.5
1,-5,-6,aquatic,735.5
1,-6,6,water,97.0
1,6,-6,water,80.0
1,3,-8,aquatic,719.0
1,10,6,water,77.0
1,4,-3,aquatic,692.5
1,-7,11,water,100.0
1,7,-3,aquatic,682.0
1,-8,4,herb,1108.0
1,-7,5,water,85.0
1,-9,4,aquatic,672.5
1,5,-3,water,101.0
1,-7,8,water,89.0
1,6,-3,water,88.0
1,-10,-2,water,113.0
1,-1,-9,aquatic,670.5
1,-8,0,herb,1074.5
1,-2,-8,herb,1240.5
1,-9,9,water,91.0
1,11,9,water,77.0
1,6,-4,water,48.0
1,5,-7,water,86.0
1,6,5,water,59.0
1,4,-8,herb,1110.0
1,0,-10,water,77.0
1,12,4,water,101.0
1,-6,-6,water,63.0
1,5,5,water,95.0
1,7,-4,water,105.0
1,4,-5,water,59.5
1,-11,0,water,67.0
1,-9,-10,water,103.0
1,-9,-14,water,83.0
1,7,-2,water,105.0
1,5,-5,water,62.0
1,5,-4,water,46.0
1,-10,4,water,84.0
1,8,-9,water,43.0
1,9,-2,water,76.0
1,4,9,water,95.0
1,-14,5,water,86.0
1,-16,-1,water,81.0
1,1,12,water,84.0
1,-8,-7,aquatic,669.0
1,-9,5,water,104.0
1,2,-13,water,117.0
1,-10,7,water,80.0
1,-5,-10,water,116.0
1,5,13,water,71.0
1,-3,-12,water,70.0
1,5,8,water,90.0
1,-3,10,aquatic,789.0
1,-7,-3,aquatic,777.0
1,-3,-8,water,100.0
1,3,-4,water,108.0
1,6,-2,water,90.0
1,-4,-7,water,133.0
1,3,-14,water,117.0
1,-10,5,water,113.0
1,8,11,water,84.0
1,4,8,water,62.0
1,-3,-10,water,89.0
1,0,-11,water,124.0
1,5,9,water,118.0
1,-4,6,aquatic,692.0
1,8,3,water,79.0
1,-10,-6,water,60.0
1,-7,-7,water,98.0
1,2,8,aquatic,678.0
1,-9,-6,water,71.0
1,-13,0,water,64.0
1,4,3,water,109.0
1,-14,4,water,96.0
1,-4,-8,aquatic,730.5
1,2,11,water,78.0
