year,lat,long,name,energy
1,5,1,floating,74.0
1,5,3,floating,48.0
1,4,2,floating,26.0
1,7,-10,floating,38.0
1,3,-8,floating,43.0
1,5,-1,floating,42.0
1,0,5,floating,338.0
1,9,10,water,79.0
1,-10,3,water,136.0
1,7,7,water,71.0
1,3,1,water,126.0
1,-1,-9,water,101.0
1,-1,4,water,112.0
1,3,7,water,70.0
1,9,7,water,128.0
1,-7,2,water,83.0
1,1,-4,water,71.0
1,-4,-1,water,80.0
1,7,0,water,96.0
1,-4,6,aquatic,720.0
1,-2,-3,aquatic,741.0
1,1,0,water,103.0
1,-5,0,water,65.0
1,-3,-7,water,83.0
1,-4,7,water,99.0
1,-6,6,water,84.0
1,-5,-2,water,66.0
1,9,-2,water,91.0
1,7,1,water,99.0
1,0,2,water,120.0
1,-6,2,water,82.0
1,12,7,water,90.0
1,-9,4,water,84.0
1,0,8,water,87.0
1,-4,-2,water,84.0
1,3,8,water,123.0
1,-2,0,water,66.0
1,0,-5,water,98.0
1,2,-6,water,101.0
1,-2,7,water,108.0
1,-3,0,water,102.0
1,-3,-3,water,86.0
1,0,-11,water,82.0
1,4,0,water,103.0
1,3,3,water,85.0
1,5,-5,water,96.0
1,-9,3,water,72.0
1,-2,6,water,62.0
1,-2,1,water,94.0
1,1,-2,water,108.0
1,-4,-5,water,100.0
1,-5,3,water,105.0
1,-1,-4,aquatic,741.0
1,2,-4,water,76.0
1,11,1,water,137.0
1,5,-4,water,68.0
1,-6,1,water,115.0
1,-1,6,water,114.0
1,-3,9,water,73.0
1,9,-9,water,104.0
1,-2,2,water,112.0
1,2,-5,water,82.0
1,-2,-2,water,91.0
1,3,5,water,89.0
1,6,3,water,107.0
1,1,2,water,75.0
1,-11,-10,water,83.0
1,-2,10,water,64.0
1,6,-4,water,103.0
1,-3,-2,water,76.0
1,-5,4,water,110.0
1,-9,-3,water,64.0
1,-2,5,water,60.0
1,1,-3,water,72.0
1,2,1,water,77.0
1,-6,-4,water,80.0
1,5,0,water,86.0
1,-2,3,water,62.5
1,-7,3,water,88.0
1,-17,-1,water,51.0
1,-7,7,water,82.0
1,3,-3,water,101.0
1,-7,-7,water,52.0
1,-5,1,water,119.0
1,-6,-6,water,86.0
1,1,-5,water,93.0
1,6,-9,water,82.0
1,10,0,water,47.0
1,9,8,water,70.0
1,6,-3,water,104.0
1,-9,-2,water,90.0
1,1,-7,water,84.0
1,-2,4,water,96.0
1,-7,1,water,120.0
1,4,5,water,74.0
1,-7,13,water,85.0
1,-7,-2,water,66.0
1,6,-1,water,64.0
1,3,-1,water,119.0
1,-3,4,water,103.0
1,5,4,water,110.0
1,4,1,water,88.0
1,6,1,water,106.0
1,0,-4,water,73.0
1,0,-8,water,76.0
1,-5,10,water,127.0
1,-3,6,water,101.0
1,6,-7,water,80.0
1,7,-8,water,88.0
1,17,1,water,92.0
1,0,-7,water,109.0
1,-6,-3,water,94.0
1,-3,8,water,95.0
1,-3,5,water,97.0
1,-7,0,water,85.0
