year,lat,long,name,energy
1,0,-7,aquatic,666.0
1,-3,6,aquatic,680.0
1,-3,-3,herb,1157.5
1,-6,2,water,56.0
1,0,-3,herb,1086.0
1,-4,-10,water,89.0
1,0,10,water,78.0
1,-3,13,water,71.0
1,-8,2,aquatic,699.0
1,-8,1,water,123.0
1,-4,-4,water,59.0
1,-8,-9,water,60.0
1,6,1,aquatic,666.0
1,0,6,water,75.0
1,8,-1,herb,1120.0
1,-7,-5,water,112.0
1,-3,3,herb,1169.0
1,16,-4,water,79.0
1,8,8,water,65.0
1,1,6,water,66.0
1,12,-4,water,133.0
1,3,9,water,70.0
1,-2,-11,water,66.0
1,9,-1,aquatic,748.0
1,9,4,herb,1099.0
1,1,-8,water,99.0
1,-3,-9,water,115.0
1,-5,-4,herb,1045.5
1,-1,-9,aquatic,714.5
1,6,2,aquatic,671.5
1,-1,6,water,99.0
1,1,5,water,93.0
1,-4,-2,water,74.0
1,3,5,water,77.0
1,-5,-2,water,106.0
1,-2,-4,water,123.0
1,-3,-6,water,78.0
1,15,10,water,78.0
1,-15,0,water,103.0
1,-5,9,water,103.0
1,-1,-11,water,121.0
1,4,2,herb,1074.0
1,6,-4,water,65.0
1,9,-3,aquatic,694.5
1,-10,0,aquatic,649.0
1,-4,-9,water,97.0
1,7,-5,water,119.0
1,-3,4,herb,1103.0
1,0,7,herb,1073.5
1,-5,-1,water,69.0
1,-9,-6,water,79.0
1,4,6,water,83.0
1,-6,3,aquatic,680.0
1,-5,7,herb,1104.0
1,6,-5,water,86.0
1,-6,-9,water,120.0
1,-1,10,water,66.0
1,6,-6,water,100.0
1,5,3,water,89.0
1,4,-11,water,73.0
1,12,1,water,67.0
1,4,-8,aquatic,749.0
1,5,7,herb,1059.5
1,-1,5,water,101.0
1,2,-10,water,123.0
1,-3,-1,herb,1110.0
1,1,4,aquatic,671.0
1,9,-5,water,110.0
1,-8,5,water,78.0
1,-3,-5,aquatic,729.0
1,-2,8,water,68.0
1,3,6,water,118.0
1,-4,6,water,123.0
1,1,-11,water,94.0
1,-1,11,water,58.0
1,1,-5,water,63.0
1,-7,-7,aquatic,803.0
1,-5,5,herb,1117.5
1,5,2,herb,1128.5
1,8,-4,herb,1051.0
1,-5,-3,aquatic,719.0
1,-1,-6,water,113.0
1,-5,-10,water,64.0
1,-13,-1,water,40.0
1,-9,7,water,96.0
1,11,-2,water,97.0
1,3,4,herb,1070.5
1,13,-6,water,89.0
1,-5,8,water,76.0
1,1,9,water,82.0
1,9,7,water,132.0
1,7,-4,water,92.0
1,6,-3,aquatic,697.5
1,0,-6,aquatic,769.5
1,1,8,water,109.0
1,8,1,aquatic,670.0
1,-5,-7,water,97.0
1,3,12,water,73.0
1,-2,16,water,107.0
1,8,2,water,93.0
1,-3,-7,water,126.0
