year,lat,long,name,energy
1,3,-4,floating,38.0
1,-4,-8,floating,29.0
1,2,7,floating,42.0
1,-2,3,floating,19.0
1,7,-3,floating,52.0
1,0,-1,floating,84.0
1,13,0,floating,46.0
1,12,-1,floating,62.0
1,-11,-5,floating,78.0
1,9,-3,floating,59.0
1,-4,2,floating,97.0
1,0,9,floating,16.0
1,0,-2,floating,71.0
1,3,-8,floating,100.0
1,7,5,floating,42.0
1,2,8,floating,23.0
1,-3,-5,floating,59.0
1,2,-7,floating,51.0
1,-4,16,floating,65.0
1,-1,6,floating,65.0
1,8,-3,floating,50.0
1,2,-3,floating,41.0
1,-3,2,floating,84.0
1,1,8,floating,45.0
1,3,-2,floating,57.0
1,-6,8,floating,12.0
1,-2,1,floating,17.0
1,-5,-7,floating,50.0
1,8,5,floating,40.0
1,-5,2,floating,70.0
1,-2,-1,floating,107.0
1,-8,6,floating,109.0
1,0,-11,floating,61.0
1,-6,3,floating,24.0
1,-2,7,floating,33.0
1,-5,3,floating,22.0
1,0,7,floating,39.0
1,-13,-4,floating,65.0
1,-9,5,floating,78.0
1,-1,-7,floating,82.0
1,3,14,floating,45.0
1,-6,4,floating,62.0
1,2,-11,floating,24.0
1,7,-1,floating,96.0
1,7,13,floating,75.0
1,-5,-9,floating,61.0
1,12,0,floating,55.0
1,-6,-14,floating,50.0
1,3,-7,floating,17.0
1,-12,5,floating,53.0
1,-6,-5,floating,30.0
1,9,9,floating,69.0
1,2,-9,floating,67.0
1,-1,0,floating,51.0
1,-7,3,floating,41.0
1,-1,8,floating,37.0
1,-13,-9,floating,43.0
1,-2,10,floating,39.0
1,1,4,floating,76.0
1,12,-9,floating,365.5
1,6,2,floating,339.0
1,-1,-2,floating,324.5
1,-1,-5,floating,372.0
1,-11,-1,floating,389.5
1,5,-3,floating,367.5
1,-12,-2,water,99.0
1,-3,-3,water,104.0
1,-1,13,water,85.0
1,4,-13,water,119.0
1,-5,-5,water,62.0
1,9,0,water,128.0
1,2,-6,water,74.0
1,-11,2,water,99.0
1,-4,7,water,97.0
1,2,-4,water,89.0
1,8,-1,water,97.0
1,-3,-8,water,67.5
1,-4,10,water,60.0
1,7,-2,water,60.0
1,-9,-3,water,74.0
1,7,7,water,67.0
1,-12,0,water,93.0
1,5,-10,water,75.0
1,2,5,water,69.0
1,9,-2,water,63.0
1,4,6,water,110.0
1,-6,-1,water,93.0
1,-2,4,water,79.0
1,3,-13,water,129.0
1,-8,-9,water,84.0
1,-4,-11,water,89.0
1,1,1,water,82.0
1,-3,1,water,65.0
1,-2,-4,water,91.0
1,-4,3,water,123.0
1,6,-1,water,100.0
1,-5,8,water,97.0
1,-8,-8,water,68.0
1,11,1,water,83.0
1,-8,2,water,95.0
1,-2,11,water,116.0
1,-1,3,water,85.0
1,4,-1,water,81.0
1,5,-14,water,26.0
1,-1,-8,water,100.0
1,-4,1,water,104.0
1,1,-2,water,79.0
1,-4,6,water,70.0
1,-7,-5,water,89.0
1,-5,5,water,61.0
1,7,-10,water,120.0
1,-8,-6,water,78.0
1,-2,-6,water,72.0
1,-9,7,water,92.0
1,4,-9,water,81.0
1,1,3,water,94.0
1,4,-4,water,92.0
1,6,-8,water,91.0
1,-3,-10,water,80.0
1,8,-5,water,105.0
1,6,-3,water,106.0
1,-10,5,water,51.0
1,-15,0,water,69.0
1,1,10,water,85.0
1,3,4,water,114.0
1,1,-6,water,81.0
1,-8,5,water,76.0
1,-8,16,water,82.0
1,8,7,water,116.0
1,-6,2,water,54.0
1,10,-3,water,96.0
1,-9,-2,water,71.0
1,-4,11,water,80.0
1,-6,-6,water,77.0
1,8,10,water,86.0
1,0,-8,water,89.0
1,2,12,water,119.0
1,2,-8,water,96.0
1,10,0,water,110.0
1,-4,5,water,93.0
1,7,0,water,52.0
1,0,-10,water,113.0
1,2,11,water,57.0
1,-5,7,water,109.0
1,-6,-3,water,108.0
1,4,5,water,125.0
1,2,-10,water,71.0
1,6,5,water,83.0
1,9,-5,water,92.0
1,-3,10,water,96.0
1,-8,4,water,60.0
1,3,8,water,83.0
1,1,-12,water,123.0
1,-6,7,water,92.0
1,10,2,water,58.0
1,-10,-5,water,135.0
1,3,7,water,102.0
1,-5,-3,water,91.0
1,9,-10,water,78.0
1,0,-14,water,97.0
1,4,-8,water,81.0
1,0,8,water,84.0
1,10,3,water,135.0
1,-1,9,water,91.0
1,1,9,water,97.0
1,-7,-6,water,73.0
1,8,-4,water,103.0
1,8,-7,water,88.0
1,-12,1,water,95.0
1,9,-8,water,92.0
1,5,8,water,85.0
1,4,8,water,102.0
1,-13,1,water,83.0
1,1,-9,water,62.0
1,-11,1,water,72.0
1,-5,-1,water,102.0
1,7,-4,water,68.0
1,-7,8,water,64.0
1,1,6,water,75.0
1,-8,7,water,128.0
1,7,2,water,123.0
1,17,-3,water,110.0
1,9,2,water,92.0
1,5,-2,water,67.0
1,-6,-4,water,83.0
1,11,2,water,84.0
1,-3,7,water,76.0
1,8,3,water,100.0
1,-1,-6,water,102.0
1,-2,-8,water,91.0
1,7,-9,water,77.0
1,-4,-6,water,89.0
1,6,7,water,75.0
1,-13,14,water,57.5
1,11,3,water,95.0
1,8,-10,water,91.0
1,6,-2,water,101.0
1,-3,12,water,105.0
1,9,5,water,114.0
1,-4,-10,water,90.0
1,1,15,water,116.0
1,11,-5,water,45.0
1,-2,-9,water,80.0
1,7,-6,water,51.0
1,-3,9,water,69.0
1,-6,-10,water,78.0
1,1,7,water,104.0
1,-7,7,water,129.0
1,-11,-2,water,121.0
1,3,9,water,106.0
1,-9,-14,water,52.0
1,2,9,water,100.0
1,-10,-10,water,86.0
1,-5,-8,water,123.0
1,-7,5,water,51.0
1,-4,-4,water,74.0
1,5,-4,water,92.0
1,-7,4,water,84.0
1,-2,5,water,84.0
1,-7,2,water,102.0
1,-11,0,water,55.0
1,-6,-11,water,109.0
1,-10,1,water,73.0
1,-10,-6,water,113.0
1,14,0,water,102.0
1,-7,-17,water,75.0
1,-8,1,water,113.0
1,4,-3,water,92.0
1,-7,-10,water,107.0
1,9,-6,water,102.0
1,14,8,water,54.0
1,-18,0,water,43.0
1,-6,-7,water,123.0
1,-14,6,water,79.0
1,-2,16,water,109.0
1,-6,-17,water,123.0
1,7,4,water,90.0
1,-11,-4,water,51.0
1,-12,-6,water,116.0
1,-10,7,water,81.0
1,3,-10,water,121.0
1,1,-8,water,52.0
1,-9,-6,water,79.0
1,-6,-9,water,75.0
1,-2,12,water,106.0
1,-6,9,water,102.0
1,-9,-5,aquatic,806.0
1,-2,-13,water,48.0
1,-4,14,water,87.0
1,-7,-2,water,62.0
1,-13,-1,water,112.0
1,2,-14,water,86.0
1,-9,-11,water,77.0
1,3,-11,water,62.0
1,5,-11,water,113.0
1,11,-4,water,74.0
1,8,2,water,109.0
1,7,8,water,53.0
1,7,3,water,65.0
1,4,10,water,107.0
1,3,-3,water,73.0
1,1,-10,water,76.0
1,8,6,water,93.0
1,-10,6,water,122.0
1,5,10,aquatic,701.5
1,8,8,water,95.0
1,4,-7,water,73.0
1,10,-8,water,105.0
1,1,11,water,48.0
1,-8,-7,aquatic,694.5
1,3,-6,water,74.0
1,5,-8,water,91.0
1,7,11,water,90.0
1,8,-6,water,91.0
1,-5,-4,water,88.0
1,13,4,water,99.0
1,4,9,water,68.0
1,11,10,water,113.0
1,-3,-9,water,113.0
1,-6,6,water,78.0
1,-7,-12,water,110.0
1,7,-11,water,65.0
1,-4,12,water,99.0
1,5,-12,water,105.0
1,-2,8,water,66.0
1,9,7,water,64.0
1,11,-7,water,68.0
1,6,-13,water,73.0
1,-1,7,water,87.0
1,11,0,water,112.0
1,6,4,water,73.0
1,-10,-4,water,47.0
1,10,-7,water,72.0
1,-14,4,water,79.0
1,-14,-4,water,82.0
1,2,-13,water,106.0
1,4,14,water,101.0
1,-9,6,water,72.0
1,8,-9,water,121.0
1,11,-6,water,106.0
1,-12,-1,water,83.0
1,-4,-9,water,115.0
1,10,1,water,92.0
1,10,-2,water,100.0
1,-10,-3,water,106.0
1,5,-9,water,88.0
1,-1,-10,water,98.0
1,-6,10,water,77.0
1,-9,2,water,82.0
1,6,9,water,86.0
1,9,8,water,114.0
1,9,-4,water,91.0
1,-7,6,water,101.0
1,2,10,water,67.0
1,14,-1,water,83.0
1,-8,8,water,83.0
1,-11,10,water,93.0
1,6,6,water,93.0
1,0,10,water,73.0
1,5,9,water,99.0
1,11,4,water,90.0
1,-3,8,water,84.0
1,-2,-14,water,71.0
1,9,-1,water,78.0
1,7,6,water,83.0
1,9,6,water,104.0
1,-6,-18,water,84.0
1,13,1,water,101.0
1,6,15,water,92.0
1,10,7,water,77.0
1,15,3,water,83.0
1,-9,-4,water,96.0
1,0,16,water,89.0
1,-1,-12,water,103.0
1,-8,-5,water,96.0
1,-12,-3,water,69.0
1,4,-11,water,82.0
1,11,-1,aquatic,755.0
1,-9,0,water,100.0
1,-13,-5,water,123.0
1,-12,-9,water,104.0
1,-1,11,water,89.0
1,-3,13,water,72.0
1,0,14,aquatic,674.5
1,-4,8,water,96.0
1,11,7,water,64.0
1,17,0,water,90.0
1,5,7,water,92.0
1,0,12,water,59.0
1,-8,10,water,68.0
1,1,12,water,84.0
1,7,9,water,86.0
1,-11,3,water,104.0
1,-19,4,water,81.0
1,-10,-1,water,102.0
1,6,-9,water,88.0
1,6,8,water,89.0
1,15,10,water,101.0
1,2,-12,water,113.0
1,-16,4,water,64.0
1,0,11,water,122.0
1,6,-10,water,115.0
1,-11,-8,water,98.0
1,9,-11,water,99.0
1,-8,-14,water,85.0
1,8,4,water,102.0
1,-8,3,water,83.0
1,17,3,water,100.0
1,-12,-4,water,71.0
1,-11,6,water,72.0
1,-13,3,water,46.0
1,9,12,water,67.0
1,-14,-3,water,103.0
1,-12,-14,water,95.0
1,12,3,water,106.0
1,-16,1,water,103.0
1,12,5,water,68.0
1,8,-2,water,113.0
1,4,-5,water,74.0
1,11,-3,water,96.0
1,13,-1,water,110.0
1,10,5,water,100.0
1,4,-16,water,55.0
1,8,-8,water,88.0
1,8,12,water,110.0
1,-11,-7,water,107.0
1,10,10,water,87.0
1,-15,-2,water,94.0
1,-13,4,water,105.0
1,-1,10,water,57.0
1,-10,8,water,112.0
1,-1,12,water,88.0
1,-2,9,water,97.0
1,-12,9,water,111.0
1,4,12,water,66.0
1,-5,13,water,54.0
1,-6,-15,water,65.0
1,-3,-11,water,113.0
1,3,-9,water,99.0
1,-6,12,water,94.0
1,12,1,aquatic,755.0
1,-13,0,water,109.0
1,1,-11,water,114.0
1,-12,10,water,93.0
1,0,-12,aquatic,721.0
1,-4,13,water,66.0
1,-3,11,water,90.0
1,13,-11,water,71.0
1,12,-5,water,133.0
1,-4,15,water,49.0
1,-6,14,water,90.0
1,-10,4,water,88.0
1,1,17,water,94.0
1,-9,-10,water,101.0
1,12,-3,water,108.0
1,2,13,water,79.0
1,-5,11,water,110.0
1,7,-12,water,89.0
1,6,-12,water,47.0
1,10,8,water,101.0
1,-9,-13,water,58.0
1,0,15,water,113.0
1,4,-10,water,69.0
1,-3,-12,water,97.0
1,-9,4,water,56.0
1,9,-14,water,90.0
1,11,5,water,127.0
1,-2,13,water,115.0
1,12,4,water,89.0
1,-2,-15,water,71.0
1,-10,-9,water,103.0
1,-14,0,water,75.0
1,-5,-10,water,76.0
1,-14,1,water,94.0
1,-11,7,water,84.0
1,-12,6,water,69.0
1,11,6,water,101.0
1,9,-9,water,110.0
1,20,-11,water,109.0
1,-2,-10,water,67.0
1,-12,2,water,81.0
1,-6,15,water,67.0
1,6,-11,water,135.0
1,-9,9,water,101.0
1,4,13,water,80.0
1,-1,-11,water,108.0
1,-13,2,water,71.0
1,6,10,water,113.0
1,-16,9,water,111.0
1,-6,-8,water,73.0
1,3,10,water,91.0
1,14,5,water,78.0
1,15,1,water,116.0
1,-11,4,water,76.0
1,-12,-8,water,84.0
1,13,7,water,103.0
1,13,-4,water,84.0
1,16,3,water,105.0
1,15,-10,water,54.0
