year,lat,long,name,energy
1,2,-1,floating,26.0
1,-7,13,floating,19.0
1,-6,6,floating,1661.0
1,-6,-5,woody,2108.5
1,1,-11,water,90.0
1,12,-7,water,99.0
1,3,-10,water,94.0
1,10,2,water,116.0
1,6,-5,water,83.0
1,-10,-1,water,90.0
1,11,7,water,118.0
1,-14,7,water,93.0
1,-12,-1,water,108.0
1,-12,1,woody,2108.0
1,-17,0,water,59.0
1,14,0,aquatic,667.5
1,-12,-4,water,88.0
1,-9,9,woody,2063.5
1,-13,4,woody,2162.0
1,-1,-8,water,70.0
1,5,-12,water,61.0
1,-9,6,water,83.0
1,12,-3,floating,4086.0
1,-10,4,floating,3172.2
1,-10,-4,water,123.0
1,4,9,water,83.0
1,2,-9,water,100.0
1,-4,11,woody,2081.5
1,-2,13,water,116.0
1,6,15,water,96.0
1,1,-8,water,70.0
1,7,7,water,116.0
1,6,-9,woody,2079.2
1,-2,-12,water,80.0
1,-8,9,woody,2107.5
1,-7,-11,floating,3133.5
1,-10,1,water,58.0
1,-5,11,woody,2129.5
1,7,-4,water,92.0
1,14,-4,water,87.0
1,4,8,water,93.0
1,16,-8,water,99.0
1,18,0,water,72.0
1,12,-4,aquatic,683.0
1,-1,-12,water,105.0
1,8,3,water,73.0
1,-8,-3,water,63.0
1,-11,-4,water,59.0
1,4,-15,water,121.0
1,3,13,water,99.0
1,-5,-5,water,80.0
1,-13,5,woody,2061.5
1,11,3,water,92.0
1,7,9,woody,2091.5
1,-14,0,water,78.0
1,13,-1,water,71.0
1,-1,-15,water,69.0
1,-12,8,woody,2130.0
1,-8,4,water,88.0
1,-9,-4,water,57.0
1,12,3,water,135.0
1,8,9,water,86.0
1,2,-13,woody,2142.0
1,-3,12,water,67.0
1,18,-4,water,101.0
1,13,-2,water,81.0
1,7,-6,water,67.0
1,2,-8,water,97.0
1,11,-8,water,64.0
1,-8,10,floating,4423.0
1,6,-12,woody,2105.5
1,12,-1,water,56.0
1,3,-11,water,111.0
1,-10,-3,water,86.0
1,9,-13,water,107.0
1,6,6,water,105.0
1,-14,-6,water,91.0
1,13,0,woody,2115.5
1,5,15,water,51.0
1,7,-9,water,63.0
1,17,-8,water,77.0
1,2,-11,water,123.0
1,6,-8,water,64.0
1,-9,15,water,88.0
1,-3,-14,woody,2083.0
1,3,15,water,64.0
1,5,-14,water,103.0
1,-16,10,water,69.0
1,11,-7,water,111.0
1,-3,-11,woody,2111.5
1,-13,-3,woody,2162.5
1,13,-6,water,61.0
1,-12,-2,water,122.0
1,4,-12,water,66.0
1,16,-5,water,49.0
1,-15,2,water,78.0
1,9,-5,water,106.0
1,7,-10,water,82.0
1,-14,-8,water,110.0
1,10,7,water,108.0
1,-12,-6,woody,2084.5
1,1,12,water,66.0
1,0,13,water,52.0
1,14,7,woody,2100.0
1,7,19,water,56.0
1,-14,5,water,101.0
1,15,-4,water,60.0
1,1,14,water,77.0
1,5,-13,water,107.0
1,-5,-14,water,61.0
1,15,3,woody,2125.0
1,-6,12,water,78.0
1,2,-12,water,96.0
1,-12,-10,water,86.0
1,-7,-13,water,103.0
1,-11,7,water,78.0
1,-15,-1,water,111.0
1,11,-3,water,88.0
