year,lat,long,name,energy
1,5,11,floating,54.0
1,6,10,floating,23.0
1,15,4,floating,65.0
1,12,0,floating,68.0
1,5,4,floating,29.0
1,-4,15,floating,54.0
1,0,-13,floating,26.0
1,3,12,floating,63.0
1,9,-11,floating,56.0
1,-6,-11,floating,63.0
1,15,0,floating,58.0
1,-11,4,floating,85.0
1,16,-7,floating,87.0
1,3,-12,water,74.0
1,4,-3,water,83.0
1,-11,1,herb,1078.5
1,-5,-6,water,86.0
1,-6,4,water,80.0
1,-8,3,water,69.0
1,10,3,water,110.0
1,-9,3,water,116.0
1,-3,3,water,96.0
1,-6,-12,water,102.0
1,3,-2,water,95.0
1,5,9,water,55.0
1,15,-2,water,108.0
1,-5,4,water,137.0
1,-4,-13,water,102.0
1,-4,-2,water,93.0
1,-1,9,water,114.0
1,-7,-5,water,71.0
1,0,10,water,107.0
1,8,8,water,128.0
1,-5,8,water,98.0
1,-10,-11,water,123.0
1,-11,3,water,86.0
1,12,-6,water,107.0
1,-4,-9,water,55.0
1,-10,2,water,91.0
1,4,-5,water,60.0
1,-3,6,water,93.0
1,1,-3,water,66.5
1,-15,6,water,82.0
1,2,12,water,93.0
1,-2,8,water,121.0
1,-6,12,water,73.0
1,-1,-5,water,85.0
1,13,-7,water,92.0
1,-8,-2,water,86.0
1,-2,-12,water,49.0
1,-2,-8,water,89.0
1,-8,-5,water,99.0
1,7,-6,herb,1092.5
1,11,-5,water,126.0
1,5,5,water,119.0
1,2,-12,water,91.0
1,-11,6,water,98.0
1,-6,-4,water,70.0
1,8,-7,water,72.0
1,-7,2,water,60.0
1,-4,9,water,111.0
1,0,7,herb,1081.5
1,7,10,water,91.0
1,5,12,water,87.0
1,-11,-12,water,88.0
1,-11,-2,water,135.0
1,-3,14,water,90.0
1,-7,8,water,74.0
1,-13,6,water,76.0
1,11,6,water,53.0
1,-8,-8,water,101.0
1,-5,3,water,132.0
1,-5,-2,water,89.0
1,11,-2,herb,1117.0
1,4,-4,water,81.0
1,-12,-2,herb,1056.0
1,7,-8,water,128.0
1,-6,5,water,92.0
1,-8,-4,water,97.0
1,-5,7,water,97.0
1,-2,-7,water,57.0
1,10,0,water,71.0
1,3,11,water,77.0
1,10,-7,water,90.0
1,-5,-5,water,76.0
1,-5,-10,herb,1043.5
1,-8,11,water,94.0
1,9,6,water,101.0
1,17,4,water,124.0
1,-4,12,herb,1100.5
1,-3,13,water,71.0
1,5,-7,water,94.0
1,-6,10,water,66.0
1,-2,10,water,73.0
1,-7,-6,water,100.0
1,-10,3,water,78.0
1,5,7,herb,1102.5
1,-15,4,water,85.0
1,-5,-15,water,105.0
1,9,-12,water,84.0
1,4,-11,water,97.0
1,10,-2,water,80.0
1,-6,7,water,89.0
1,9,5,water,74.0
1,-5,9,water,74.0
1,8,7,water,92.0
1,-5,-11,water,78.0
1,-5,5,water,81.0
1,-10,-2,water,124.0
1,7,1,water,112.0
1,-6,-7,water,86.0
1,-10,5,water,108.0
1,-6,11,water,94.0
1,-10,-5,water,108.0
1,10,6,water,109.0
1,17,0,water,121.0
1,-3,-12,water,112.0
1,-7,-11,water,66.0
1,-4,13,water,79.0
1,9,-7,water,118.0
1,-11,5,water,61.0
1,9,-3,water,77.0
1,-10,-6,water,67.0
1,5,-12,water,116.0
1,-9,6,herb,1085.0
1,-8,4,water,87.0
1,-6,-1,water,99.0
1,-6,8,water,81.0
1,5,8,water,99.0
1,-1,11,water,87.0
1,-11,10,water,66.0
1,9,3,water,94.0
1,-10,0,water,81.0
1,6,9,water,112.0
1,6,5,water,101.0
1,2,-13,water,128.0
1,-4,-8,water,53.0
1,-7,5,water,61.0
1,6,11,water,93.0
1,11,3,water,104.0
1,-7,-7,water,72.0
1,6,-11,water,105.0
1,-8,7,water,81.0
1,-6,-10,water,80.0
1,11,4,water,68.0
1,-12,4,water,88.0
1,4,-7,water,95.0
1,-2,7,water,75.0
1,-2,-15,water,90.0
1,-9,1,water,117.0
1,7,-10,water,81.0
1,10,16,water,87.0
1,5,-14,water,92.0
1,-14,-2,water,117.0
1,-10,-9,water,103.0
1,10,5,water,72.0
1,-3,-11,water,98.0
1,-6,-3,water,81.0
1,-9,-5,water,56.0
1,1,-12,water,55.0
1,7,5,water,69.0
1,-1,8,water,119.0
1,1,9,water,60.0
1,-8,-6,water,60.5
1,14,0,water,97.0
1,-1,-12,water,109.0
1,14,-3,water,73.0
