year,lat,long,name,energy
1,-1,5,aquatic,541.0
1,2,0,herb,974.0
1,8,2,aquatic,647.5
1,-7,-6,aquatic,756.0
1,7,-2,herb,1113.5
1,-1,-8,water,69.0
1,0,-14,water,79.0
1,7,-8,water,66.0
1,8,1,aquatic,712.5
1,12,2,herb,1088.5
1,-9,3,herb,1159.0
1,-6,-2,herb,1062.0
1,-6,-3,herb,1086.0
1,-15,-3,water,121.0
1,7,8,water,91.0
1,-14,-7,water,78.0
1,0,-11,herb,1147.5
1,-2,10,water,65.0
1,8,5,herb,1157.5
1,13,0,water,90.0
1,7,7,water,122.0
1,-10,-2,herb,1066.5
1,16,-5,water,93.0
1,6,3,herb,1072.0
1,7,-3,herb,1097.0
1,10,7,water,84.0
1,-10,-9,water,88.0
1,-10,2,water,72.0
1,-3,8,aquatic,693.0
1,8,-2,water,86.0
1,-1,-14,water,87.0
1,-3,12,water,83.0
1,4,7,herb,1094.0
1,-17,4,water,138.0
1,-12,-5,water,51.0
1,-7,5,herb,1175.0
1,-8,-7,herb,1114.5
1,9,0,water,98.0
1,5,-7,water,116.0
1,-1,14,water,80.0
1,10,3,water,103.0
1,-6,8,herb,1107.5
1,-9,1,aquatic,688.0
1,-6,-9,water,75.0
1,2,8,aquatic,719.0
1,6,6,herb,1177.5
1,-13,3,aquatic,731.5
1,0,-13,water,105.0
1,-17,2,water,92.0
1,-5,-8,herb,1135.0
1,10,1,herb,1153.5
1,3,-11,water,68.0
1,4,-9,herb,1089.5
1,6,-12,herb,1144.5
1,-10,-1,herb,1110.5
1,3,-14,water,121.0
1,-3,-14,water,83.0
1,-2,9,herb,1102.5
1,6,8,aquatic,663.0
1,16,1,water,58.0
1,-2,-11,water,100.0
1,-7,-3,herb,1082.5
1,-12,-1,water,96.0
1,-12,1,water,69.0
1,5,11,water,70.0
1,12,7,water,95.0
1,12,5,water,48.0
1,8,-3,water,132.0
1,-15,-8,water,96.0
1,6,7,water,65.0
1,-3,11,water,75.0
1,-10,0,herb,1123.5
1,9,-5,water,103.0
1,8,4,herb,1071.0
1,11,7,water,83.0
1,-5,-11,water,95.0
1,5,10,water,106.0
1,8,0,water,71.0
1,-5,-10,water,109.0
1,8,-7,water,98.0
1,-10,8,woody,2133.0
1,-7,-9,herb,1158.0
1,7,-4,water,71.0
