year,lat,long,name,energy
1,0,1,aquatic,560.0
1,-5,2,aquatic,550.0
1,-2,0,aquatic,560.0
1,-4,-1,aquatic,548.0
1,-1,1,aquatic,575.0
1,-4,-2,aquatic,607.0
1,2,-1,aquatic,568.0
1,-6,4,aquatic,565.0
1,2,-3,aquatic,544.0
1,2,3,aquatic,594.0
1,0,-2,aquatic,552.0
1,3,1,aquatic,566.0
1,-7,4,aquatic,546.0
1,2,0,aquatic,580.0
1,-2,-3,aquatic,533.0
1,-2,4,aquatic,551.0
1,2,1,aquatic,552.0
1,-3,-3,aquatic,566.0
1,-2,1,aquatic,527.0
1,1,1,aquatic,561.0
1,-4,3,aquatic,599.0
1,-3,1,aquatic,571.0
1,-3,0,aquatic,530.0
1,-7,3,aquatic,561.0
1,3,-3,aquatic,553.0
1,0,-1,aquatic,536.0
1,-1,-1,aquatic,578.0
1,0,0,aquatic,586.0
1,-2,-1,aquatic,567.0
1,-5,3,aquatic,558.0
1,1,-2,aquatic,592.0
1,-3,5,aquatic,535.0
1,-3,2,aquatic,541.0
1,-2,2,aquatic,560.0
1,-1,0,aquatic,560.0
1,-3,4,aquatic,577.0
1,3,3,aquatic,552.0
1,1,-1,aquatic,559.0
1,2,-2,woody,1935.0
1,-1,2,woody,1932.0
1,3,4,woody,1917.0
1,1,0,woody,1910.0
1,-4,2,woody,1925.0
1,2,-6,woody,1969.0
1,3,-4,woody,1914.0
1,7,6,aquatic,671.0
1,-1,-19,water,107.0
1,11,3,woody,2073.5
1,-13,0,aquatic,681.0
1,11,8,water,83.0
1,-7,7,woody,2093.5
1,-13,-3,water,88.0
1,-10,-16,water,113.0
1,-5,-12,water,125.0
1,12,0,aquatic,685.0
1,6,-5,aquatic,672.0
1,10,-10,water,97.0
1,6,-8,aquatic,710.5
1,6,-6,aquatic,683.0
1,1,15,water,86.0
1,3,12,aquatic,802.5
1,4,-15,water,95.0
1,3,-16,water,132.0
1,-9,7,aquatic,705.5
1,7,-9,water,93.0
1,3,-13,water,118.0
1,-4,14,water,100.0
1,-15,1,water,102.0
1,10,7,water,61.0
1,13,11,water,80.0
1,-11,-6,aquatic,662.0
1,-15,-4,water,107.0
1,-14,0,water,119.0
1,4,-10,aquatic,685.0
1,-9,19,water,89.0
1,-6,-9,aquatic,725.0
1,12,-1,water,107.0
1,4,19,water,100.0
1,-13,-6,woody,2151.0
1,0,-16,water,112.0
1,5,11,woody,2101.0
1,10,-5,aquatic,708.5
1,-6,11,woody,2077.5
1,-8,-11,water,65.0
1,1,-11,woody,2091.5
1,-8,-9,water,77.0
1,12,4,water,70.0
1,-12,10,water,88.0
1,13,4,water,67.0
1,11,-10,water,101.0
1,2,-12,woody,2064.0
1,6,-10,woody,2125.5
1,-8,10,aquatic,693.0
1,-12,-3,woody,2140.0
1,12,3,woody,2064.0
1,14,-1,water,81.0
1,11,0,water,112.0
1,11,9,water,100.0
1,-17,0,water,100.0
1,12,-6,woody,2220.5
1,-11,9,woody,2124.5
1,13,-4,water,113.0
1,-5,-10,aquatic,688.0
1,12,-4,water,89.0
1,-2,13,aquatic,710.0
1,13,0,water,111.0
1,2,18,water,113.0
1,-13,1,water,111.0
1,9,-7,aquatic,642.5
1,11,-2,woody,2121.5
1,4,-13,water,92.0
1,4,12,woody,2085.5
1,8,-8,water,84.0
1,9,7,woody,2155.0
1,8,7,aquatic,715.5
1,13,2,water,80.0
1,10,-3,aquatic,783.5
1,-10,10,aquatic,672.0
1,9,-8,water,106.0
