labels,variable,value
8,floatingConsumption,9.333333333333334
8,floatingEnergy,76.33333333333333
8,floatingNum,14.333333333333334
8,floatingSprawl,7633.333333333333
8,herbConsumption,61.666666666666664
8,herbEnergy,1000.0
8,herbNum,1.0
8,herbSprawl,60000.0
8,waterNum,979.0
8,woodyConsumption,82.33333333333333
8,woodyEnergy,1995.3333333333333
8,woodyNum,16.333333333333332
8,woodySprawl,1995333.3333333333
9,SubmergedConsumption,13.0
9,SubmergedEnergy,76.0
9,SubmergedNum,255.0
9,SubmergedSprawl,38000.0
9,aquaticConsumption,35.0
9,aquaticEnergy,583.0
9,aquaticNum,30.0
9,aquaticSprawl,116600.0
9,deadWorld,54.0
9,debrisNum,1.0
9,floatingConsumption,12.0
9,floatingEnergy,78.0
9,floatingNum,1.0
9,floatingSprawl,7800.0
9,herbConsumption,51.0
9,herbEnergy,1015.0
9,herbNum,117.0
9,herbSprawl,60900.0
9,waterNum,1029.0
9,woodyConsumption,75.0
9,woodyEnergy,2013.0
9,woodyNum,1.0
9,woodySprawl,2013000.0
