year,lat,long,name,energy
1,-13,2,floating,44.0
1,-5,-7,water,105.0
1,7,0,floating,1644.5
1,4,-8,floating,1661.5
1,4,-9,water,84.0
1,-3,9,water,104.0
1,-8,-9,water,71.0
1,-4,2,herb,1074.0
1,-6,-7,water,106.0
1,0,-14,water,100.0
1,9,4,water,107.0
1,7,-5,herb,1205.5
1,5,9,water,130.0
1,-5,1,herb,1100.0
1,-9,1,herb,1090.5
1,9,12,water,88.0
1,0,-10,herb,1109.5
1,12,-3,water,58.0
1,-10,-4,water,125.0
1,3,-8,herb,1119.5
1,-8,-2,water,63.0
1,-14,3,water,102.0
1,5,-1,herb,1043.0
1,-7,3,water,109.0
1,-5,7,herb,1161.5
1,11,-3,water,99.0
1,-7,-8,water,106.0
1,4,12,water,104.0
1,-4,1,herb,1134.0
1,9,0,water,68.0
1,-6,-3,floating,2703.2
1,5,5,herb,1089.5
1,-7,-6,herb,1067.0
1,8,8,water,74.0
1,-8,-4,water,100.0
1,1,-7,herb,1112.0
1,7,9,water,94.0
1,-1,-15,water,75.0
1,5,-4,herb,1213.5
1,1,11,water,93.0
1,-9,-2,herb,1154.5
1,9,5,water,111.0
1,7,12,water,86.0
1,0,-13,herb,1156.0
1,7,8,water,84.0
1,-5,5,herb,1101.5
1,10,-6,water,87.0
1,-7,12,water,84.0
1,-5,-5,herb,1114.5
1,14,0,water,125.0
1,-2,-8,herb,1103.5
1,-6,4,water,123.0
1,-11,-1,water,98.0
1,11,3,water,91.0
1,13,-5,water,97.0
1,-8,3,water,82.0
1,-11,0,herb,1122.0
1,-3,-5,herb,1124.5
1,6,12,water,90.0
1,6,-12,water,67.0
1,-9,-6,herb,1104.0
1,-2,8,water,128.0
1,2,-7,herb,1100.5
1,8,5,water,57.0
1,-2,7,water,81.0
1,12,2,herb,1193.0
1,4,7,water,73.0
1,8,4,water,86.0
1,-1,-13,water,55.0
1,-3,10,water,58.0
1,10,5,water,73.0
1,4,9,herb,1070.5
1,-7,-2,water,44.0
1,8,9,water,101.0
1,0,12,water,70.0
1,-12,-2,water,96.0
1,-7,-9,water,77.0
1,9,1,water,36.0
1,-4,-7,herb,1110.0
1,8,0,water,93.0
1,-6,3,water,88.0
1,1,15,water,88.0
1,-7,6,water,92.0
1,-9,-3,water,85.0
1,15,-1,water,66.0
1,0,-9,herb,1113.5
1,3,11,water,67.0
1,7,3,herb,1118.5
1,5,6,herb,1160.0
1,7,6,water,86.0
1,-2,11,water,91.0
1,-6,6,herb,1145.0
1,-6,7,water,76.0
1,4,14,water,91.0
1,3,-10,water,109.0
1,-7,-11,water,85.0
1,-15,-8,water,116.0
1,8,7,water,57.0
1,-11,-2,water,79.0
1,-13,-2,water,83.0
1,-2,10,water,74.0
1,11,-5,water,113.0
1,-10,8,water,123.0
1,-7,7,water,113.0
1,2,-11,water,90.0
1,-9,-4,water,87.0
1,2,17,water,110.0
1,-8,-3,water,105.0
1,-7,5,water,68.0
1,-11,-3,water,92.0
1,-4,10,water,56.0
1,-6,-5,water,98.0
1,-7,-3,water,83.0
1,-8,6,water,105.0
1,-4,13,water,94.0
1,10,12,water,97.0
1,12,1,water,73.0
1,6,7,water,79.0
1,6,6,water,60.0
1,-9,3,herb,1138.0
1,-9,11,water,68.0
1,10,-5,water,90.0
1,7,-9,water,98.0
1,-2,-9,water,114.0
1,-9,9,herb,1175.5
1,-2,12,water,88.0
1,-1,7,water,70.0
1,14,3,water,108.0
1,-8,-12,water,96.0
1,-14,-3,water,80.0
1,-9,-8,water,89.0
1,-1,9,water,114.0
1,13,2,water,75.0
1,0,13,herb,1119.5
1,0,14,water,71.0
1,4,10,water,66.0
1,-8,-5,water,103.0
1,11,8,water,77.0
1,8,-7,water,91.0
1,12,0,water,82.0
1,-6,-11,water,124.0
1,-4,-6,herb,1166.0
1,10,7,water,110.0
1,6,8,water,138.0
1,9,6,water,68.0
1,-7,2,water,96.0
1,-9,5,water,121.0
1,-10,5,water,79.0
1,-10,6,water,90.0
1,-2,9,water,128.0
1,9,3,water,94.0
1,7,13,water,111.0
1,-5,8,water,102.0
1,8,11,water,87.0
1,-5,-8,water,110.0
1,14,-1,water,89.0
1,10,-4,water,75.0
1,-3,-12,water,96.0
1,-11,-5,water,111.0
1,-15,-7,water,121.0
1,-2,14,water,56.0
1,9,-6,water,96.0
1,-7,-5,water,118.0
1,-1,-10,woody,2180.5
1,-3,-8,herb,1094.0
1,5,7,herb,1096.0
1,13,6,herb,1093.5
1,17,-5,water,82.0
1,8,6,water,88.0
1,0,10,herb,1147.0
1,2,14,water,92.0
1,3,-14,water,77.0
1,11,0,water,99.0
1,-4,-13,herb,1110.5
1,10,4,water,68.0
1,-1,8,water,59.5
1,9,8,water,81.0
1,-12,-4,water,64.0
1,-6,-14,water,85.0
1,3,-12,water,92.0
1,10,15,water,100.0
1,11,-4,water,81.0
1,2,12,herb,1154.5
1,-17,-3,water,95.0
1,-6,9,water,132.0
1,8,-6,herb,1104.5
1,6,-16,water,69.0
1,-5,-9,herb,1099.5
1,11,7,water,81.0
1,-6,-8,water,66.0
1,13,3,water,96.0
1,-4,12,water,109.0
1,6,-8,water,56.0
1,11,5,water,68.0
1,6,5,water,57.0
1,-6,8,water,121.0
1,-11,3,water,77.0
1,9,9,herb,1058.5
1,7,10,water,100.0
1,-12,0,water,89.0
1,-8,-10,water,98.0
1,0,18,water,117.0
1,-5,9,water,68.0
1,-12,-1,water,137.0
1,6,14,water,72.0
1,9,-4,water,127.0
1,-1,10,water,95.0
1,-12,-16,water,96.0
1,-10,-5,water,85.0
1,-9,0,water,105.0
1,-7,8,water,73.0
1,-12,2,water,74.0
1,13,1,water,64.0
1,-10,-11,water,110.0
1,-8,-6,water,88.0
1,-11,10,water,58.0
1,-10,3,water,77.0
1,-10,-2,water,59.0
1,5,-10,herb,1122.0
1,-4,9,water,76.0
1,-6,-16,water,111.0
1,5,11,water,109.0
